Date,Close,High,Low,Open,Volume
2025-08-13,2475.63916015625,2481.9891454246754,2454.108219033236,2465.6178398482184,969803
2025-08-14,2461.252197265625,2489.430589305409,2453.909769595819,2479.4092692334916,1104362
2025-08-18,2548.06982421875,2576.744317534717,2501.6347992367637,2519.1966970429903,3089136
2025-08-19,2584.4833984375,2594.603793083701,2538.445159023351,2552.13757165593,1400717
2025-08-20,2648.9765625,2659.096957697686,2568.3106250001715,2578.7287287523454,3156954
2025-08-21,2627.346435546875,2646.2975584682295,2606.807937462502,2646.2975584682295,2235686
2025-08-22,2609.387451171875,2637.76447641911,2598.5725648830726,2626.3541730605166,1223445
2025-08-25,2611.074462890625,2622.385449660888,2594.8022322765755,2622.385449660888,667598
2025-08-26,2671.5986328125,2683.901819675416,2604.1290122069813,2604.1290122069813,4348648
2025-08-28,2633.696533203125,2726.5665836002318,2626.1559558246827,2726.5665836002318,3198743
2025-08-29,2639.054443359375,2701.7614547505946,2620.797812241766,2644.0154449288766,1972773
2025-09-01,2628.834716796875,2652.4491325813005,2618.714322099665,2639.054428419475,1096729
2025-09-02,2656.120361328125,2671.400149963799,2624.469266767194,2628.338751273143,1525106
2025-09-03,2643.916015625,2665.9428132100716,2637.5660307805015,2660.0889285014373,1010692
2025-09-04,2645.801513671875,2728.5509248247226,2634.787993044382,2728.5509248247226,2494678
2025-09-05,2612.860107421875,2652.0520182863465,2603.335130123233,2646.793550617698,944879
2025-09-08,2603.434326171875,2623.9730666119685,2598.3742498750744,2609.486845026385,903410
2025-09-09,2621.393310546875,2625.560503547093,2590.9328084136164,2616.4323088236597,1610956
2025-09-10,2622.881591796875,2632.2081780734443,2598.5726835316877,2621.393291290843,1031486
2025-09-11,2601.54931640625,2636.9708204363524,2593.6117136101975,2623.1793324727764,1212707
2025-09-12,2560.372802734375,2608.395199020342,2548.9624996026387,2604.5257148528326,1368380
2025-09-15,2560.868896484375,2573.1720829359647,2548.3670761897,2560.37279634945,752745
2025-09-16,2560.769775390625,2569.7988954313,2552.534706310226,2568.01288636171,1040928
2025-09-17,2549.656982421875,2570.8902135171456,2546.4819900088273,2566.8220955202946,970247
2025-09-18,2566.623779296875,2589.5434608386845,2550.847649216938,2550.847649216938,1550153
2025-09-19,2539.635986328125,2584.384074543658,2534.8733764379313,2579.7207815780857,2214708
2025-09-22,2552.1376953125,2567.0207005828506,2540.231291096219,2548.962702635441,1174161
2025-09-23,2502.527587890625,2555.2135215505277,2498.558786627699,2548.8632941880032,1430474
2025-09-24,2529.61474609375,2555.9080548882134,2490.4228329850216,2502.5276285865116,1882881
2025-09-25,2518.502197265625,2547.474399043097,2512.0528949895665,2526.142091514596,1624258
2025-09-26,2492.208740234375,2525.54652468155,2479.905311279923,2515.2277385461766,885612
2025-09-29,2478.4169921875,2497.7648977229896,2423.945293497526,2475.5397082588324,2403556
2025-09-30,2494.788330078125,2506.5956589551924,2472.1663570938695,2478.4170251763394,1678088
2025-10-01,2516.41845703125,2530.110870187784,2478.4171355140884,2495.780641485965,1483899
2025-10-03,2525.050537109375,2528.721872140129,2488.7361501691885,2516.4184426371576,1242611
2025-10-06,2521.974853515625,2529.714064556161,2500.5432294397424,2515.4262344267695,818923
2025-10-07,2497.566650390625,2539.4374563414676,2488.736164248618,2520.188866616989,1291750
2025-10-08,2480.60009765625,2505.305788537764,2466.7092932841597,2491.414984165673,1225128
2025-10-09,2497.963623046875,2503.3214078814285,2478.814108419605,2481.493000836882,1259173
2025-10-10,2509.17529296875,2515.12849489021,2486.9501026898624,2490.422803810714,1018875
2025-10-13,2473.35693359375,2511.854353327809,2466.0145060992772,2499.5509243788547,1114750
2025-10-14,2482.782958984375,2489.6290444351353,2462.9389521863327,2473.555447376003,1461017
2025-10-15,2499.3525390625,2512.0527512652384,2483.0805511453786,2483.0805511453786,881070
2025-10-16,2541.52099609375,2548.466397996017,2487.545398204978,2498.1618926654496,1446646
2025-10-17,2583.391845703125,2594.603757423401,2540.0327414928897,2545.4898430859407,2050690
2025-10-20,2574.164306640625,2604.228023538072,2565.4331379755677,2588.6505276068815,1011485
2025-10-21,2571.485595703125,2586.3686009360827,2564.9372187424715,2573.7677049527942,82020
2025-10-23,2581.308349609375,2646.396542743126,2575.8512480603545,2580.7129325458322,3386744
2025-10-24,2496.772705078125,2563.845541367595,2455.1996099512826,2563.845541367595,3110800
2025-10-27,2492.208740234375,2505.3057356327795,2486.453930097325,2496.7727162326983,2127832
2025-10-28,2477.62353515625,2506.298027731777,2462.541896386315,2499.3526254379835,2294976
2025-10-29,2468.693603515625,2493.994710552656,2464.6254854896224,2493.002510276694,1870143
2025-10-30,2450.337890625,2477.5240812054235,2435.752352825584,2471.5708795685664,1195631
2025-10-31,2446.269775390625,2460.160579225737,2433.7679550444664,2449.742476349403,1401937
2025-11-03,2440.812744140625,2455.5964317532575,2421.2664466287306,2436.943259855451,1049185
2025-11-04,2426.624267578125,2444.0870900572017,2422.2586830765586,2440.812780562824,1251588
2025-11-06,2417.0,2444.682292267998,2413.6266157779787,2444.682292267998,1329256
